name,latitude,longitude,cuisine,phone,website,opening_hours,street,house_number,city,amenity,brand,operator,category
Hooters,40.7408217,-73.784295,burger,(718) 454-2800,,,190th Street,61-09,Fresh Meadows,restaurant,Hooters,,restaurant
Sam Sunny,40.7415576,-73.9784628,korean,+1-212-837-1044,https://www.samsunnynyc.com,Mo-Th 12:00-22:00; Fr-Sa 12:00-23:00; Su 12:00-22:00,,,,restaurant,,,restaurant
Pedro's,40.7025316,-73.9865653,"mexican, burrito, tacos, nachos, enchilada",+1-718-797-2851,https://pedrosbarbrooklynnyc.com/,Mo-Su 12:00-23:00,Jay Street,73,Brooklyn,restaurant,,,restaurant
Trudy's Ice Cream,40.8003773,-73.9618056,dessert,+1-646-649-3612,https://trudysicecream.com,Mo-Fr 12:00-21:00; Sa-Su 11:00-21:00,Columbus Avenue,975,New York,restaurant,,,restaurant
Angelina's,40.5134027,-74.2513558,italian,+1 718 227-2900,https://www.angelinasristorante.com/,,Ellis Street,399,Staten Island,restaurant,,,restaurant
Talay Thai Restaurant,40.6424804,-74.0766747,thai,+1 716-599-1365,https://talay.restaurant,11:00-09:30,Stuyvesant Place,154,,restaurant,,,restaurant
Boutros,40.6901687,-73.9934852,"middle_eastern, american, brunch",+1-718-403-0055,https://boutrosbk.com,"Mo-Th 17:30-23:30; Fr 17:30-01:00; Sa 11:00-15:30,17:30-01:00; Su 11:00-15:30,17:00-23:30",,,,restaurant,,,restaurant
Bubo,40.7460362,-73.9776676,"mediterranean, american",+1-212-532-3300,https://www.bubonyc.com,"Mo-Th 16:00-01:00, Fr 16:00-02:30, Sa 12:00-01:00, Su 12:00-11:30",,,,restaurant,,,restaurant
Little Alley,40.7473845,-73.9771526,"chinese, shanghai",+1-646-998-3976,https://www.littlealley.nyc,"Mo-Th 11:30-15:00,17:00-22:00; Fr-Sa 11:30-15:00,17:00-22:30; Su 11:30-15:00,17:00-22:00",3rd Avenue,550,New York,restaurant,,,restaurant
Mikado,40.6902604,-73.9938187,sushi,+1-212-381-1388,http://www.newmikadonyc.com/,"Mo-Th 10:30-15:30,17:00-22:00; Fr 10:30-23:00; Sa 12:00-23:00; Su 12:00-22:00",Atlantic Avenue,177,Brooklyn,restaurant,,,restaurant
The Musket Room,40.7239188,-73.9937813,"continental, eclectic",+1-212-219-0764,https://www.musketroom.com,Tu-Sa 17:00-23:00,,,,restaurant,,,restaurant
Nha Trang One,40.7167899,-73.9996711,vietnamese,+1-212-233-5948,https://nhatrangnyc.net/,"Su, We 11:00-20:30; Tu, Th 11:00-21:00; Fr-Sa 11:00-21:30",Baxter Street,87,New York,restaurant,,,restaurant
Mi,40.7461325,-73.9775916,chinese,+1-917-388-2679,,Mo-Su 11:30-21:00,,,,restaurant,,,restaurant
Zum Stammtisch,40.7018175,-73.8811268,german,+1 718 386-3014,https://zumstammtisch.com/,,Myrtle Avenue,69-46,Glendale,restaurant,,,restaurant
Lake Pavilion,40.7426161,-73.8248756,"Cantonese, chinese",+1 (718) 886-6693,,09:00-22:00,Main Street,60-15,,restaurant,,,restaurant
Happy Garden Restaurant,40.7430063,-73.825794,,,,,,,,restaurant,,,restaurant
Mugs Ale House,40.7194991,-73.9557619,,,,,Bedford Avenue,125,Brooklyn,restaurant,,,restaurant
The Inwood Farm,40.8727992,-73.918421,american,+1-212-942-7451,https://www.theinwoodfarm.com/,Mo-Fr 07:00-22:30; Sa 07:00-23:00; Su 08:00-22:00,West 218th Street,600,New York,restaurant,,,restaurant
Garden Café,40.8681188,-73.9204207,,+1-212-544-9480,https://gardencafeny.com/,"Mo-Fr 11:00-23:00; Sa, Su 12:00-23:00",Broadway,4961,,restaurant,,,restaurant
Le Monde,40.8057782,-73.9658657,"french, loire_valley",+12125313939,https://lemondenyc.com/,,Broadway,2885,New York,restaurant,,,restaurant
Carmine's Pizzeria,40.714968,-73.9443016,pizza,,https.//www.carmineapizzeriamenu.com,,Graham Avenue,358,,restaurant,,,restaurant
El Loco Burrito,40.7148102,-73.9445968,mexican,+1 718-388-8215,,Mo-Sa 11:00-21:00; Su 12:00-21:00,Graham Avenue,345,,restaurant,,,restaurant
Tony's Pizza,40.7150542,-73.9446372,pizza,+1-718-384-8669,,Mo-Th 10:00-23:00; Fr-Sa 10:00-24:00; Su 10:00-23:00,,,,restaurant,,,restaurant
East Met West,40.714447,-73.9439212,chinese,+1 718-218-7777,,"Mo-Th 11:00-23:00; Fr, Sa 11:00-23:30; Su 11:30-23:00",Metropolitan Avenue,752,,restaurant,,,restaurant
Il Passatore,40.7143441,-73.9420637,,+1 718-693-3100,https://ilpassatorebrooklyn.com,17:00-22:00,Bushwick Avenue,14,,restaurant,,,restaurant
Sarah James,40.6932477,-73.9425684,,,,,Pulaski Street,217,Brooklyn,restaurant,,,restaurant
Hard Rock Cafe,40.756994,-73.9865512,american,+1 212-343-3355,https://www.hardrockcafe.com/location/new-york/,,Broadway,1501,New York,restaurant,Hard Rock Cafe,,restaurant
Carbone,40.7554192,-73.9930152,,,,,West 38th Street,331,New York,restaurant,,,restaurant
Freemans,40.7219891,-73.9924423,american,+1-212-420-0012,https://www.freemansrestaurant.com,Mo-Th 11:00-23:00; Fr 11:00-02:00; Sa 10:00-02:00; Su 10:00-23:00,Freeman Alley,,New York,restaurant,,,restaurant
Aurora,40.7156935,-73.9647329,italian,+1-718-388-5100,https://www.aurorabk.com,"Mo-Th 12:00-23:00, Fr 12:00-23:30, Sa 11:00-23:30, Su 11:00-22:30",Grand Street,70,Brooklyn,restaurant,,,restaurant
Tick Tock Diner,40.7524435,-73.9935503,diner,+1 212-268-8444,https://www.ticktockdinerny.com,"We-Su 00:00-00:00; Mo, Tu 06:00-22:00",8th Avenue,481,,restaurant,,,restaurant
Giovanni,40.779131,-73.960536,italian,,https://www.giovanniventicinque.com/,,East 83rd Street,25,New York,restaurant,,,restaurant
The Good Fork,40.6759784,-74.0142976,"korean, american",+1-718-643-6636,https://www.goodfork.com/,Tu-Fr 16:00-24:00; Sa-Su 12:00-24:00,Van Brunt Street,391,Brooklyn,restaurant,,,restaurant
Blue,40.6453855,-74.1077517,"mediterranean, american",(718) 273-7777,https://www.bluerestaurantnyc.com/,"Su 12:00-21:00, Mo closed, Tu-Th 12:00-22:00, Fr-Sa 12:00-23:00",Richmond Terrace,1115,Staten Island,restaurant,,,restaurant
Vinegar Hill House,40.7027578,-73.9812369,american,,https://www.vinegarhillhouse.com/,"Mo-Th 17:30-21:30; Fr 17:30-22:00; Sa 10:00-15:00,17:30-22:00; Su 10:00-15:00,17:30-21:30",Hudson Avenue,72,Brooklyn,restaurant,,,restaurant
Junior's,40.7582151,-73.9866267,,+1 212-302-2000,https://www.juniorscheesecake.com/blog/restaurants/times-square/,"Mo-Th, Su 06:30-00:00; Fr, Sa 06:30-01:00",Broadway,1515,,restaurant,,,restaurant
Diner,40.7106766,-73.9655977,american,+1-718-486-3077,https://www.dinernyc.com/,"Mo-Th 18:00-24:00; Fr 11:00-24:00; Sa, Su 10:00-24:00",Broadway,85,Brooklyn,restaurant,,,restaurant
Graziella's,40.690471,-73.9694971,"italian, pizza",+1-718-789-5663,https://www.graziellasmenu.com/,Mo-We 15:00-23:00; Th-Su 11:00-23:00,,,,restaurant,,,restaurant
Dannee Thai,40.6904836,-73.960039,thai,+1-718-622-4422,https://www.danneethaibrooklynny.com,"Mo-Su 12:00-16:00,17:00-22:00",DeKalb Avenue,433,,restaurant,,,restaurant
Fuji East Restaurant,40.7590731,-73.9522681,japanese,,,Mo-Su 11:00-23:00,,,,restaurant,,,restaurant
Ristorante Settepani,40.8043628,-73.9476425,italian,,,,,,,restaurant,,,restaurant
Juliette Restaurant,40.716964,-73.959114,,,,,,,,restaurant,,,restaurant
miDmuS,40.717029,-73.95921,,,,,North 5th Street,135,,restaurant,,,restaurant
Ako,40.7169209,-73.9585388,japanese,+1-718-302-2035,https://akosushi.com/,Su-Th 12:00-22:00; Fr-Sa 12:00-23:00,Bedford Avenue,205,Brooklyn,restaurant,,,restaurant
Rockmeisha Izakaya,40.7326428,-74.002464,,,,,,,,restaurant,,,restaurant
Annisa,40.7326055,-74.0025709,,,,,,,,restaurant,,,restaurant
John's of Bleecker St,40.7316098,-74.0033416,,,,,Bleecker Street,278,New York,restaurant,,,restaurant
Joe's Pizza,40.7305467,-74.0020629,pizza,+1 212-366-1182,https://www.joespizzanyc.com/,"Mo-Th, Su 10:00-04:00; Fr, Sa 10:00-05:00",Carmine Street,7,New York,restaurant,,,restaurant
Momo Sushi,40.7051487,-73.9333751,japanese,,momosushishack.com,,Bogart Street,43,,restaurant,,,restaurant
Hummus Place,40.7322601,-74.0033462,,,,,South 7th Avenue,71,,restaurant,,,restaurant
Lombardi's Pizza,40.7215933,-73.9956147,pizza,+1-212-941-7994,https://www.firstpizza.com/,Mo-Th 12:00-22:00; Fr-Sa 12:00-24:00; Su 12:00-22:00,Spring Street,32,New York,restaurant,,,restaurant
Brick Lane,40.7266326,-73.9893341,indian,+1-212-979-2900,https://www.bricklanecurryhouse.com,"Mo-Th 12:00-24:00, Fr-Sa 12:00-01:00, Su 12:00-24:00",2nd Avenue,79,,restaurant,,,restaurant
Tom's Restaurant,40.8054509,-73.9654163,diner,+1 212-864-6137,https://tomsrestaurant.net/,"Tu-Th 07:00-01:00; Mo,Fr-Su 00:00-24:00",Broadway,2880,New York,restaurant,,,restaurant
Osaka,40.6848533,-73.9948629,japanese,+1-718-643-0044,https://www.osakany.com,"Mo,We-Su 12:00-15:00, 16:30-22:00",,,,restaurant,,,restaurant
Leland,40.6797196,-73.9651937,american,+1 (646) 470-7008,https://www.lelandbrooklyn.com/,,Dean Street,755,Brooklyn,restaurant,,,restaurant
Urban Rustic,40.719235,-73.9528162,,,,,North 12th Street,236,Brooklyn,restaurant,,,restaurant
The River Café,40.7037562,-73.994822,new_american,+1 718 522 5200,https://www.rivercafe.com/,Mo-Fr 17:30-23:00; Sa-Su 11:30-23:00,Water Street,1,Brooklyn,restaurant,,,restaurant
Bill's Townhouse,40.7601706,-73.9730036,american,+1 212-518-2727,http://www.billstownhouse.com,Mo-Fr 11:00-23:00; Sa 17:00-22:00,East 54th Street,57,New York,restaurant,,,restaurant
Leone's Pizzeria,40.7106227,-73.8651011,pizza,+1-718-894-4132,http://leonespizzeriany.com/,Mo-Th 11:00-21:00; Fr-Sa 11:00-22:00; Su 12:00-21:00,Cooper Avenue,8402,Glendale,restaurant,,,restaurant
